company_name,company_short_data
(주)영케미칼,"제조업, 일회용밴드,반창고 외"
(주)오스코리아제약,"제조업, 아스헥솔주,레복스주,시플록스... 등"
(주)오엘티파워,"제조업, 지능형변압기, 지능형전압조정... 등"
(주)오투에이브이,"제조업, 구내방송장치, 영상감시장치"
(주)원컨덕터,"제조업, 컨덕터"
(주)윌토피아,"서비스업, 온라인콘텐츠"
(주)유니온환경,"제조업, 환경오염방지시설제조업"
(주)유신에코,"제조업, 생분해플라스틱(빨대, 농업용... 등"
(주)유진텍,"제조업, 기계부품"
(주)유투,"제조업, 데스크톱,모니터,노트북"
(주)이레화학상사,"제조업, 도료 외"
(주)이뮤니스바이오,"제조업, 첨단바이오의약품"
(주)이쓰리모빌리티,"제조업, 전기 이륜차"
(주)이에이엔테크놀로지,"컨설팅, 친환경 건축 설계 엔지니어링... 등"
(주)인산씨앤씨,"제조업, ATM부스 / 키오스크"
(주)일론,"제조업, 화장품"
(주)조광환경산업개발,"서비스업, 순환골재"
(주)지-플라텍,"제조업, 크러시패드, 실사이드, 글로... 등"
(주)지성이엔씨,"전기자재 도소매업, 전선케이블"
(주)지앤지테크놀러지,"제조업, 열교환기 제작"
(주)지에스엠씨,"도소매, 의료기기"
(주)지에프씨생명과학,"제조업, 화장품 원료 제조"
(주)지인테크,"제조업, 영상감시장치"
(주)지투지바이오,"연구개발업, 약효지속형약물"
(주)참케어,"제조업, 산소포화도측정기, 손목형혈압... 등"
(주)켐원코퍼레이션,"서비스업, 폴리머, 베이스오일 "
(주)코드,"정보통신업, IT 솔루션"
(주)코리아에어캡,"제조업, 생분해에어캡필림"
(주)코리언 인그리디언츠,"제조업, 복합비료, 식물영양제"
(주)코아파이프,"도,소매, 내충격파이프"
(주)퀀텀센싱,"제조업, 양자 기반 가스 영상화 시스... 등"
(주)큐어라이프,"제조업, 생활리빙제품"
(주)태공식품,"제조업, 어육연제품.농수산물가공"
(주)태진시스템,"정보통신, 스마트공장구축, IT 융합제... 등"
(주)테크웰,"제조업, Probe Card,디스플레... 등"
(주)티에이케이,"제조업, 자동차 부품(HUB PUMP... 등"
(주)퍼팩트,"제조업, 내진용/내충격 PVC상하수도... 등"
(주)포디랜드,"제조업, 포디프레임"
(주)프러스엔지니어링/경영,"제조업, 선박부품"
(주)피티케이,"제조업, 정제기, 코팅기"
(주)하이텍산업개발,"제조업, 발전설비 제조 외"
(주)하이템,"제조업, 그로와장비"
(주)한결아이에프엠,"서비스업, 건물종합관리"
(주)한국선진철도시스템,"제조업, 철도차량내장재"
(주)한바다식품,"제조업, 김치, 선식"
(주)한영피엔에스,"제조업, 냉장고 DOOR , 에어컨 ... 등"
(주)현대주방금속,"제조업, 주방기기 및 주방기구"
(주)휴온스바이오파마,"제조업, 보툴리눔 톡신 제제"
ADRFKOREA,"제조업, 무선통신장비"
J&amp;S,"제조업, 전기 제어기"
KJI공업 주식회사,"제조업, 수액패치"
ORS코리아,"제조업, 연삭기"
The좋은스틸,"제조업, 스테인레스,특수강철강소재 판... 등"
㈜가지푸드바이오농업회사법인,"제조업, 식품제조"
㈜강산농원,"제조업, 산야초 발효원액, 다류"
㈜극동,"제조업, 자동차 부품"
㈜다올산업,"제조업, 풍력발전 부품"
㈜대영정공,"제조업, 반도체 칩마운트 부품, 선박... 등"
㈜로지체인,"정보통신업, 시스템소프트웨어, 문서감식장... 등"
㈜리오정보기술,"서비스업, MES, ERP, POP"
㈜바이닝,"소매, 와인"
㈜바이닝인터내셔널,"도매, 와인"
㈜밸류엔지니어링,"제조업, 반도체 이온주입기"
㈜보인이앤엠,"제조업, 철도차량 운전시험반"
㈜브이티엘,"제조업, Damper, PCB Boa... 등"
㈜산들바람식품농업회사법인,"제조업, 김치류"
㈜삼녹,"제조업, 선박구성부품 (배관 Pipe... 등"
㈜슬래시비슬래시,"제조업, 스마트폰케이스"
㈜신성산업,"제조업, 산업용비경화고무제품"
㈜싱크푸드,"제조업, 육가공식품"
㈜써밋코리아,"제조업, 주형 및 금형"
㈜에스엠터치,"제조업, 자동문 전자감지장치"
㈜에이티엠코리아,"제조업, 줄눈"
㈜에코도,"제조업, 친환경 코로크"
㈜에프원공조,"제조업, 냉동공조부품"
㈜옥두식품,"제조업, 핫도그, 츄러스, 치즈볼"
㈜이투이솔루션,"정보통신업, 소프트웨어 연구개발"
㈜제이에이치테크,"제조업, 초정밀 유압기계부품"
㈜지웰,"제조업, 식품(견과류)"
㈜케이에프컴스,"제조업, -"
㈜코리아퍼스텍,"공공SI, SW개발"
㈜클레이노즈,"제조업, 화장품(비건)"
㈜토리식품,"제조업, 기타 식품류(분말류, 액상 ... 등"
가구클럽,"서비스업, 가구,의자,파티션외"
가나산업,"농업/임업, 공조집진설비기계"
가온반도체,"제조업, 반도체장비 부품"
고려공업검사(주) ,"서비스업, 비파괴검사 기술용역"
고현소팩,"제조업, 비누"
금광테크㈜,"제조업, 원자력 부품 절삭가공"
금화솔루션,"제조업, 공장자동화설비(자동차 부품검... 등"
까나베나 주식회사,"제조업, 침구류"
나누,"제조업, 편백 생활용품"
나무플래닛,"서비스업, 소프트웨어 개발 및 공급"
나비스오토모티브시스템즈(주),"제조업, 차량멀티미디어(전자지도)개발"
네오셈,"제조업, 반도체 검사 장비"
넥스포,"제조업, 전력감시제어시스템"
노바소프트,"정보통신업, 보안sw"
농업회사법인 노고단식품(주),"제조업, 두류가공품"
농업회사법인 주민육소간 주식회사,"제조업, 소고기 돼지고기"
농업회사법인 주식회사 해남참농가,"농업/임업, 고구마"
농업회사법인 현농(주),"제조업, 쌀국수, 쌀라면"
농업회사법인(유)술소리,"제조업, 탁주,약주,기타주"
농업회사법인(주) 농부누리,"제조업, 식품제조"
농업회사법인(주)소백청정포크,"제조업, 식육포창처리업"
농업회사법인(주)영풍,"제조업, 떡볶이류, 부침개류, "
농업회사법인㈜ 레드팜,"제조업, 식품제조"
농업회사법인솜씨가(주),"제조업, 김치"
농업회사법인유한회사영인바이오,"제조업, 수산물절임식품, 팻사업안심댕... 등"
농업회사법인주식회사제이알글로벌,"제조업, 농산물"
담다 농업회사법인 주식회사,"제조업, 식품제조"
대건테크,"제조업, 전자부품,반도체제조용기계"
대주이엔티(주),"제조업, 엘리베이터 가이드레일 외"
대축산업,"제조업, 프레스 가공 제품"
대흥시스텍 주식회사,"제조업, IROCV 장비 외"
도담케미칼 주식회사,"도매및소매업, 안티몬제거제"
동보전기 주식회사,"전기공사업, 전기공사시공"
동성화학공업(주),"제조업, 플라스틱 SHEET"
동양전자공업,"제조업, 모터코어"
동양하이테크㈜,"제조업, 굴삭기 연료탱크,유압유탱크"
동일라미네이션,"제조업, 의류 스포츠 용품 (신발등)"
동행복권,"서비스업, 온라인복권, 즉석복권, 결합... 등"
디엑스솔루션,"서비스업, 응용프로그램"
디엠테크컨설팅,"IT(MES 구축), MES,LMS,AI,Edge... 등"
라이크디즈 주식회사,"서비스업, 미술품"
랩엠제로,"제조업, 생활제품"
레드엠에스,"제조업, 바이오 헬스 샴푸 비누"
리턴박스,"제조업, 포장 및 충"
맑고밝고따뜻한협동조합,"제조업, 식품제조"
메디바이오코리아(주),"도소매, 의료기기 "
메리디안글로벌 주식회사,"제조업, 유니폼, 여성 액티브웨어"
명진정공(주),"제조업, 자동차용 오일펌프 부품"
믿음영농조합법인,"제조업, 식품제조"
바른,"서비스업, 경영컨설팅"
바이오쓰리에스,"제조업, 손세정제"
보금냉열,"제조업, 산업용 냉장 및 냉동장비"
보령해운개발(주),"제조업, 재활용골재"
보성포리테크 주식회사,"제조업, 폴리에틸레관 및 부속류"
보승테크,"제조업, -"
부광기업(주),"건설업, 제조업, 기계배관설비의 보온과 비계 ... 등"
비아이랜드주식회사,"제조업, 친환경 인조잔디, 충격흡수배... 등"
비앤비,"제조업, 페인트 도료"
비에스티,"제조업, 화장품원료 및 식품원료 생상"
삼덕에프지,"도매, 산업용필터, 기자재판매"
삼두종합기술(주),"서비스업, 산업시스템관련기술서비스업(설... 등"
삼심기계,"제조업, Rear Axel Shaft... 등"
삼영금속(주),"제조업, 스텐레스 제품"
삼영정공,"제조업, 자동차부품,방위산업부품,항공... 등"
삼원기업,"제조업, 자동차 사출품 "
삼정보일러공업(주),"제조업, 산업용 보일러(열매체, 스팀... 등"
삼회산업㈜,"제조업, 계측센서"
상림엠에스피,"제조업, 가공공작기계"
선일금고제작,"제조업, 금고"
성강,"제조업, 플라스틱 압출/사출 제품"
성동산업주식회사,"제조업, 중장비부품 PART / 농기... 등"
성운,"제조업, 전자제품"
성진세미텍 (주),"제조업, 반도체 부품 및 장비 "
성한주식회사,"제조업, 빌딩자동제어장치"
세일단조,"제조업, 크라운휠,플랜지"
세중해운 주식회사,"서비스업, 물류운송(해상, 항공, 창고... 등"
수정영농조합법인,"제조업, 엿기름"
스테디윈스 주식회사,"제조업, 업사이클"
승림특수금속,"제조업, 산업용파이프"
신우식품,"제조업, 다류차"
신우휠타산업(주),"제조업, 산업용필터류"
쓰리디픽처스,"-, 3d 픽처"
아로마라인 주식회사,"제조업, 식품용 향료 / 화장품 향료"
아성정밀화학(주),"제조업,  PANGYUNSIDE"
아워서킷,"제조업, 자동차 부품"
아이리스테크,"제조업, 자동화기기"
아이엔테코㈜,"제조업, 중앙 집중식 Chip 및 C... 등"
아이티팩토리,"IT/플랫폼, 플랫폼"
아쿠아셀(주),"제조업, 탈취기, 스크라바, 폐수처리... 등"
알루앤텍,"제조업, 알루미늄합금 주조품"
에덴식품영농조합법인,"제조업, 식품제조"
에스아이티(주),"제조업, 자동차부품(WIPER, HO... 등"
에스이피(SEP),"제조업, 전자기센서 및 전장부품"
에스지오,"제조업, 황동 오일리스 베어링, 황동... 등"
에스지판넬(주),"제조업, 조립식판넬"
에이치아트,"제조업, 모형제작"
에이치에스 테크놀로지,"제조업, CCSS / DCS / DR... 등"
에이치코비,"제조업, 환경측정계측기, 환경측정및분... 등"
에코엔텍 주식회사,"제조업, 에코채움제, SOIL AGE... 등"
에코트로닉스 진천공장,"제조업, 어군탐지기"
엔알텍주식회사,"제조업, 산업용 소음기"
엘앤지,"제조업, 반도체 검사장비"
엠에이티플러스,"제조업, POU Scrubber"
영난이엔지,"건설업, 기계설비공사,소방설비공사"
영농조합법인 엔자임팜,"제조업, 잼"
영창에코,"제조업, 신발 및 신발부분품"
영풍전자,"제조업, 방산전자제어장치"
오비오 주식회사,"제조업, 정수기, 냉온수기"
오손도손,"제조업, 식품(부각)"
온리-원테크,"제조업, 렌즈금형 부품가공 "
올리브인터내셔널,"도매 및 소매업, 화장품"
와인앤푸드(주),"도매 및 소매업, 무역(식품)"
우진전장(주),"제조업, 엘리베이터 의장품, 버튼시스... 등"
유니램주식회사,"제조업, 산업용 특수 광원 및 광학장... 등"
유비스주식회사,"제조업, 빌딩자동제어장치"
유진공업주식회사,"제조업, 컴프레셔부품(냉간단조)"
은광정밀,"제조업, 산업용 기계부품"
이시스（ISIS）,"제조업, 화장품"
이앤씨비즈파트너,"제조업, 건축자재"
이엔후레쉬(주),"제조업, 이동식화장실,컨테이너하우스"
이제이엠컴퍼니,"정보통신업, 플랫폼 서비스"
인천스마트시티(주),"농업/임업, 스마트도시 컨설팅, 구축"
일영정보,"제조업, 충방전시스템"
일진기계(주),"제조업, 선박엔진용부품,발전설비부품,... 등"
